awesome
great
good
cool
excellent
fantastic
outstanding
impressive
terrific
wonderful
amazing
superb
phenomenal
brilliant
splendid
fabulous
marvelous
spectacular
nice
pleasant
satisfactory
adequate
fine
decent
fair
okay
ok
